"","knr","aar","knavn","pm2","Menn_ya_p","Kvinner_ya_p","Total_ya_p","inc_k1","inc_k5","uni_k_mf","uni_k_m","uni_k_f","uni_l_mf","uni_l_m","uni_l_f","Trade_p"
"613","0529","2010","Vestre Toten",10827,60.3723404255319,57.2750078394481,58.8253719655442,19.7,12.8,15.4,12.1,18.7,2.5,3.4,1.6,47061
"614","0529","2011","Vestre Toten",11090,59.8688319800125,56.7744960150023,58.3222682183863,19.4,12.8,15.6,12,19.2,2.7,3.4,1.9,47306
"615","0529","2012","Vestre Toten",12026,59.3160012380068,56.6037735849057,57.9594678217822,20.2,12.1,15.8,11.7,20,2.7,3.3,2,47377
"616","0529","2013","Vestre Toten",12351,59.1153432652434,56.4118372379778,57.7659819986153,21.5,12.1,16.3,12.1,20.5,2.7,3.2,2.2,48901
"617","0529","2014","Vestre Toten",12940,58.954089388872,56.2875173156842,57.6290630975143,21.5,12.2,16.9,12.5,21.2,3.1,3.5,2.7,53792
"618","0529","2015","Vestre Toten",13781,58.9483255038642,56.1117045627957,57.5349756690998,20.5,12.6,17.2,12.7,21.7,3.3,3.6,2.9,55658
"619","0529","2016","Vestre Toten",14289,58.8931008339651,55.7630979498861,57.3292867981791,20.1,13.6,17.7,13.1,22.4,3.4,3.6,3.1,56695
"620","0529","2017","Vestre Toten",15267,59.136712287562,55.5130168453293,57.3412246756203,20.1,13.3,18,13.2,22.9,3.7,3.8,3.5,57136
"621","0532","2008","Jevnaker",12312,58.9005235602094,56.6875,57.7685421994885,20.3,15.5,15.5,12.3,18.4,2.3,3.3,1.5,43015
"622","0532","2009","Jevnaker",12187,59.2482690405539,57.147296457427,58.1666933290674,19.8,15.4,15.8,12.5,19,2.5,3.4,1.6,44343
"623","0532","2010","Jevnaker",12860,59.5494613124388,57.2230889235569,58.3599234205488,19.6,15.6,16.1,12.7,19.4,2.5,3.3,1.7,46167
"624","0532","2011","Jevnaker",12398,59.3649775497113,56.4640543042271,57.8864601352414,19,15.2,16.5,12.9,20,2.6,3.2,2,47599
"625","0532","2012","Jevnaker",13500,59.1575663026521,56.7419158023185,57.9361406756131,19.9,15.1,17,13.2,20.6,2.7,3.2,2.2,45255
"626","0532","2013","Jevnaker",13846,58.8456712672522,55.6511056511056,57.2315332091868,20.8,14.9,16.9,12.8,21,3.1,3.7,2.6,44883
"627","0532","2014","Jevnaker",15133,58.5864848109113,55.6838905775076,57.1209330877839,20.7,14.8,17.7,13,22.4,3.1,3.9,2.4,45189
"628","0532","2015","Jevnaker",16249,58.0526638089406,55.9255925592559,56.9783300500076,20.4,15.1,17.6,12.7,22.4,3.4,4.1,2.8,46931
"629","0532","2016","Jevnaker",17519,58.4554334554335,56.0990158067402,57.2635389953236,20.6,15.4,18.3,13.4,23,3.6,3.9,3.3,49743
"630","0532","2017","Jevnaker",18134,58.8483569490503,55.9337081976916,57.3775388291517,20.6,16.1,18.9,13.8,23.9,3.9,4.2,3.7,51286
"631","0533","2008","Lunner",13227,61.8881929946648,58.9923023093072,60.4442893696208,15.9,21.2,15.6,12.5,18.8,3.8,4.8,2.7,21636
"632","0533","2009","Lunner",13417,62.0681605975724,58.3411433926898,60.2081384471469,16,20.9,16.2,12.9,19.4,4,5,3,25027
"633","0533","2010","Lunner",14170,61.9312906220984,58.3643988816403,60.1511627906977,16,20.3,17,13.5,20.5,3.9,5,2.9,28202
"634","0533","2011","Lunner",13912,62.1198156682028,58.2522021325916,60.19181881211,15.6,19.9,17.3,13.7,21,4.1,5,3.2,31806
"635","0533","2012","Lunner",15639,60.9634174051352,58.9485714285714,59.9589790337284,16.1,19.7,18.2,14.3,22,4.3,5.2,3.4,31479
"636","0533","2013","Lunner",15845,60.3964856949763,59.0182391353299,59.7072072072072,17,19,18.7,14.3,23.1,4.4,5.4,3.4,33648
"637","0533","2014","Lunner",17227,59.8931671488983,58.6230096434178,59.2605004468275,17.4,19.4,19,14.4,23.6,4.7,5.5,3.9,32598
"638","0533","2015","Lunner",17415,59.6265006669631,58.6015538290788,59.1136287904032,17.2,19.6,19.8,14.9,24.6,5,5.7,4.3,34449
"639","0533","2016","Lunner",19038,59.0598101964246,58.8300465322402,58.9451570101725,18.1,19.8,19.9,14.9,24.9,5.2,5.8,4.5,35887
"640","0533","2017","Lunner",18699,59.2568306010929,58.4905660377358,58.8766519823789,17.8,19.7,19.8,14.6,25.2,5.4,5.9,5,36249
"641","0534","2008","Gran",11069,59.7759361571516,55.1026524801439,57.4114792630222,19.7,16.9,14.5,11,17.9,3,3.8,2.1,72275
"642","0534","2009","Gran",12442,59.9021257072947,55.4058101227913,57.6303245819778,20.9,16.6,14.8,11.3,18.3,3.1,3.9,2.3,73118
"643","0534","2010","Gran",13916,60.1688527061661,55.260029717682,57.6966250093542,20.9,16.2,15.2,11.5,18.8,3.2,4,2.4,74497
"644","0534","2011","Gran",14273,60.0511201323109,55.4769276131505,57.7415512877773,20.6,16.8,15.7,12.1,19.2,3.3,4,2.6,74581
"645","0534","2012","Gran",14537,59.8745144905886,55.5817031916458,57.7114059141777,20,16,16,12.2,19.7,3.4,4,2.9,77662
"646","0534","2013","Gran",13883,59.6467794597804,55.1379917792132,57.380073800738,21.2,15.9,16.2,12.3,20,3.6,4.1,3.1,79739
"647","0534","2014","Gran",15554,59.6153846153846,55.3234993427779,57.4557213199089,21.6,16.2,16.7,12.8,20.6,3.9,4.4,3.5,83737
